Name,author,Repo,type,thumb,description,maturity,Home,language,license,Contacted?,Note,JekyllContent,Filename,Screenshot,Removed,Room
matterbridge,42wim,https://github.com/42wim/matterbridge,bot,,"Bot for bridging Matrix and Mattermost, IRC, XMPP, Gitter, Slack, Discord, Telegram, Rocket.Chat, Hipchat(via xmpp), Steam.",Stable,,Go,Apache,Failed,42wim is not on matrix,"This project implements bridges between Matrix rooms and Mattermost, IRC, XMPP, Gitter, Slack, Discord, Telegram, Rocket.Chat, Hipchat(via xmpp), Steam.

Get it and report issues at [github](https://github.com/42wim/matterbridge)",2017-08-21-matterbridge.md,,,
mycete,Aaron Bieber,https://github.com/qbit/mycete,client,,Matrix Twitter / Mastodon client,Alpha,,Go,MIT,Failed,#mycete:tapenet.org is not available,"Mycete is a client that listens to a Matrix channel and posts the events to [Twitter](https://twitter.com) or [Mastodon](https://mastodon.social), essentially turning [Riot](https://riot.im) into a micro-blogging interface. [github](https://github.com/qbit/mycete).",2017-11-16-mycete.md,,,
Gyr,Adam Beckmeyer,https://github.com/non-Jedi/gyr,as,,Python framework for application services,Alpha,https://pypi.python.org/pypi/gyr,Python,GPL3,Yes,,"A framework and library for building Application Services with python3. Find the
[source on Github](https://github.com/non-Jedi/gyr) or install [the library with
pip](https://pypi.python.org/pypi/gyr).",2017-04-21-gyr.md,,,
matrix-relay,Adam Beckmeyer,https://github.com/non-Jedi/matrix_relay,as,,Relays messages between rooms using AS API,Alpha,,Python,GPL3,Yes,,"Relays messages between matrix rooms via the AS API.
Built on https://github.com/non-Jedi/gyr.",2017-05-02-matrix-relay.md,,,
Revolt,Adrian Perez de Castro,https://github.com/aperezdc/revolt,client,,Revolt wraps Riot to provide better integration with desktop environments.,Alpha,,Python,GPL3,Yes,change m to Beta,"Revolt is a small application which wraps [Riot](./riot.html) to provide better integration with desktop environments in general, and GNOME in particular.

Check it out on [GitHub](https://github.com/aperezdc/revolt)!",2016-07-05-revolt.md,,,
synpurge,Adrian Perez de Castro,https://github.com/aperezdc/synpurge,other,,Purges Matrix room history room using the HTTP API,Alpha,https://pypi.python.org/pypi/synpurge/4,Python,GPL3,Yes,change m to Beta,"Utility to remove history of Matrix rooms using the purge_history API of Synapse.

Find it on [PyPI](https://pypi.python.org/pypi/synpurge/4).",2017-01-05-synpurge.md,,,
Interlocutor,Alexander Maznev,https://github.com/pik/Interlocutor,other,,"Free, decentralized comment software for the web",Alpha,,JavaScript,Unknown,No,Creator is dead. Remove this project,"Interlocutor is a decentralized comment software built on top of Matrix as a Polymer Webcomponent, it is under active development and not yet ready for production use.

Check it on [GitHub](https://github.com/pik/interlocutor).",2016-08-27-interlocutor.md,,,
Hello Matrix Bot,Alexander Rudyk,https://gitlab.com/argit/hello-matrix-bot,bot,,Bot with an array of plugins,Alpha,,JavaScript,Apache,Yes,,"This project is a simple attempt at providing a friendly face to as many popular services as possible, making them accessible from any Matrixroom. ""Hello Matrix"" is written as NodeJS application, building on matrix-js-sdk, the JavaScript SDK from the creators of Matrix. It is a hobby project and as such far from feature complete, in fact it is all very basic right now - hopefully this will change over the coming months.

You can either use the ""Hello Matrix"" bot running on our server (just invite @hello-matrix:matrix.org into your Matrix room) or you can check out the code from this repository and run your own instance of ""Hello Matrix"" (also providing your own API keys to the services you want to use).

""Hello Matrix"" currently supports the following services:

* Sending and receiving messages using Bitmessage
* Numeric calculations using Wolfram Alpha
* Throwing the dice (generating a random number)
* Adding tasks to your Kanban board from Kanban Tool and getting notified of task status changes
* Tracerouting a given IP
* Weather from OpenWeatherMap
* Providing WHOIS information on a domain or IP address
* Adding tasks and monitoring progress on Wunderlist lists
* The goal is to add at least generic web hook functionality in the coming months, which would immediately make a large number of other integrations possible. We’ll keep you updated on any progress.

|

Follow the progress and grab the code from [gitlab](https://gitlab.com/argit/hello-matrix-bot)!",2016-09-04-hello-matrix-bot.md,,,
tiny-matrix-bot,Ander Punnar,https://github.com/4nd3r/tiny-matrix-bot,bot,,Bot with plugins,Alpha,,Shell/Python,Unknown,Yes,happy with the progress,"Simple and dirty matrix.org bot based on matrix-python-sdk

<del>no manual</del>, no support, no warranty

pull requests are welcome!

manual:

* git clone https://github.com/4nd3r/tiny-matrix-bot
* git clone https://github.com/matrix-org/matrix-python-sdk
* cd tiny-matrix-bot
* ln -s ../matrix-python-sdk/matrix_client
* cp tiny-matrix-bot.cfg.sample tiny-matrix-bot.cfg
* vim tiny-matrix-bot.cfg
* screen ./tiny-matrix-bot.py tiny-matrix-bot.cfg
* scripts must have execute bit - chmod +x

|

Follow the progress and grab the code from [GitHub](https://github.com/4nd3r/tiny-matrix-bot/)!",2016-12-21-tiny-matrix-bot.md,,,
mxpp,anewusername,https://github.com/anewusername/mxpp,bot,,Bot for bridging Matrix and one-to-one XMPP chats,No longer maintained,,Python,,Failed,Hasn't been on matrix HQ since 2016 - try email - anewusername@gmail.com,"[mxpp](https://github.com/anewusername/mxpp) is a bot for bridging XMPP and Matrix. It creates one Matrix room per user on your XMPP roster, and then passes messages between the Matrix room and XMPP user.",2016-10-30-mxpp.md,,,
